title,description,source,source_type,api_source,url,publishedAt,date,link
Are Myanmar's upcoming elections a 'peace-building process' or a 'trap'?,"Nearly five years ago, Myanmar's military seized power, plunging the country into a bloody civil war that left the junta internationally isolated. Now, with no end to the conflict in sight, Myanmar is going to the polls again.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-05/myanmar-election-pathway-peace-trap/105733420,2025-09-05T00:50:59Z,,
Recreational shooter says culled WA deer look to have suffered,A South West recreational shooter has criticised the WA government's deer aerial cull program after finding several deer with multiple bullet wounds on crown land.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-05/concerns-raised-over-deer-cull-western-australia/105724338,2025-09-05T00:02:53Z,,
Australian-made Hollow Knight: Silksong video games set to break records,"After years of silence, Team Cherry has released their sequel to one of the most successful Australian-made games of all time, which is expected to break records.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-05/hollow-knight-silksong-explainer-team-cherry/105727946,2025-09-04T23:19:53Z,,
Is Australia's promised green hydrogen industry ever going to happen?,Billions of dollars in private investment are being pulled out of green hydrogen projects.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-04/hydrogen-australia-energy-jobs-environment-climate/105677690,2025-09-04T05:18:43Z,,
Regional Murray River Mardi Gras idea floated for LGBTQIA+ community,"With few public LGBTQIA+ celebrations in Mildura, a community campaign for a mardi gras is gaining momentum.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-04/lgbtqia-event-mardi-gras-regional-victoria-mp-river-mildura/105480660,2025-09-03T23:31:31Z,,
Tenants say Victorian affordable housing scheme is flawed,"A year after they moved into an ""affordable"" apartment in a new public-private housing development in inner Melbourne, Alix and Tiarn were told their rent would increase by 17 per cent. They say their experience highlights flaws in the model the Victorian gov…","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-04/ground-lease-affordable-housing-model-flawed-tenants-say/105730686,2025-09-03T19:19:39Z,,
"Aussie housing affordability at record lows, but first timers still buying","Housing affordability remains around record lows, despite recent rate cuts, but it is not stopping an above-average number of first-time buyers from entering the market, according to a new report.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-04/record-low-housing-affordability-for-first-home-buyers/105729220,2025-09-03T14:01:00Z,,
"Labor push to water down information laws, reduce transparency","The government will argue the ""proper functioning"" of government is hampered by disclosure laws and push for wide-ranging restrictions on the information that can be released to the public.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-03/labor-to-water-down-information-laws/105729886,2025-09-03T07:22:52Z,,
Nine Sydney suburbs identified as priority areas for social housing,Researchers have identified the nine priority areas for social housing builds in Sydney — but there are concerns the Not In My Backyard movement could prove a challenge in community sentiment towards new developments.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-03/priority-areas-social-housing-in-sydney-earmarked-new-research/105709134,2025-09-02T20:04:53Z,,
This Aussie refugee family made headlines. Now their story is on stage,The Nadesalingam family's immigration nightmare has been transformed into a work of theatre that will have its world premiere at Brisbane Festival.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-03/back-to-bilo-brisbane-festival-immigration-nadesalingam/105720690,2025-09-02T19:58:35Z,,
'Great outcome' or simply unaffordable? Debate over Melbourne redevelopment heats up,"The redevelopment of the 150-year-old Queen Victoria Market has been described as the ""biggest renewal"" in its history with thousands of new homes promised, but some critics say the plans don't do enough for affordability.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-02/queen-victoria-market-redevelopment-housing-boost/105722108,2025-09-02T05:38:43Z,,
Glazier working 90-hour weeks warns housing targets may be unachievable,"As tradespeople work long hours to meet demand and fewer school leavers choose apprenticeships, industry leaders say Australia does not have the workforce to meet its ambitious housing goals.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-02/fears-trades-skills-shortage-may-undermine-vic-housing-targets/105698356,2025-09-02T00:26:03Z,,
How 'edible shelters' for sheep could boost lamb survival rates,"Scientists hope shrubs will help to improve the survival of lambs, particularly twins, on West Australian farms, by providing windbreaks and food for the animals.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-01/edible-shelters-for-sheep-could-boost-lamb-survival-rates/105704046,2025-08-31T23:37:16Z,,
Experts say weekend anti-immigration rallies raise 'concerning development',"Members of the multicultural community describe fear and hurt after the weekend's anti-immigration demonstrations, while experts raise concerns about far-right groups.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-01/weekend-anti-immigration-rallies/105718340,2025-08-31T20:12:16Z,,
Voice note shows WA police officer laughed at prisoner's death days after he asked for help,The ABC has obtained a voice recording of a WA police officer laughing about the suicide of an Aboriginal prisoner. It comes as new data shows the state has the highest rates of Indigenous deaths in custody in Australia.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-01/wa-police-officer-ignored-prisoner-suicide-threat-before-death/105506456,2025-08-31T18:37:01Z,,
"Australia keeps pumping house prices, while Trump pursues 'state-run capitalism'","President Donald Trump opens the door to ""state-run capitalism"" in the US, while Australia keeps pumping house prices.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-31/australia-keeps-pumping-house-prices-trump-state-run-capitalism/105711838,2025-08-30T21:33:35Z,,
"Amid Russia's invasion, some Ukrainians have to 'fight like it's the 1940s'","Australian troops are among a group of allies helping train Ukrainian soldiers in England. Despite technological advances in war, sometimes it's about getting back to basics.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-31/australian-soldiers-helping-train-ukrainian-troops-in-england/105710172,2025-08-30T19:11:45Z,,
Inside the world of 'sovcits' and the pseudolaw keeping their conspiracies alive,"""Sovereign citizens"" believe Australian laws do not apply to them. That's where pseudolaw comes in.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-31/sovereign-citizen-sovcit-pseudolaw-porepunkah/105711958,2025-08-30T19:00:00Z,,
Country legend's nephew takes 'deadly' school of rock to remote kids,"Fronted by the kin of Aussie music royalty, Elvis Kernaghan and The Min Min Lights turn outback classrooms into rock concerts.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-30/elvis-min-min-lights-outback-music-school-workshops-tour/105706984,2025-08-29T23:23:48Z,,
'Destroying aspirations': Filmmakers still waiting on content quotas,"With promised local content requirements for streaming services delayed indefinitely, Australian filmmakers say the local industry is hurting.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-30/delays-to-content-quotas-for-streaming-services-hurting-industry/105680966,2025-08-29T22:25:26Z,,
Aiva is ready to flick the switch and put her foot down in Zandvoort,"It has been several weeks since Australian driver Aiva Anagnostiadis has been in a racing car but when she hits the track on Friday in the Netherlands, the Victorian will ""switch something mentally"" before putting her foot down.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-29/f1-academy-returns-dutch-grand-prix-aiva-anagnostiadis/105643950,2025-08-29T04:11:06Z,,
Oyster reef restoration raises hope for north Queensland marine health,Scientists and traditional owners restore oyster reefs once common in Far North Queensland waters.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-29/far-north-queensland-oyster-restoration-project-launched/105671188,2025-08-28T23:36:18Z,,
ASIO chief Mike Burgess gives Australia's national security agency a public face,"If the intelligence community had its Logies, ASIO chief Mike Burgess would be chasing gold this week.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-29/mike-burgess-gives-national-security-agency-a-public-face/105693332,2025-08-28T20:04:00Z,,
'Bubble curtain' to protect giant Australian cuttlefish from algal bloom,"A highly experimental, nearly $700,000 ""bubble curtain"" will be installed next week hoping to protect cuttlefish and their eggs in the Upper Spencer Gulf from South Australia's toxic algal bloom.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-28/bubble-curtain-protect-upper-spencer-gulf-cuttlefish-algal-bloom/105708406,2025-08-28T09:05:24Z,,
Man in custody on fresh charges after avoiding jail for assaulting bus driver,"A man who bashed a Brisbane bus driver has been spared jail time over the ""deplorable and grotesque"" attack, but will remain on remand in a ""surprise"" development.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-28/qld-bus-driver-assault-man-in-custody-unrelated-charges/105697474,2025-08-28T08:24:04Z,,
BOM forecasts wet spring as severe storm barrels towards nation's south,Spring is shaping up to be warm and wet for large parts of country as warm seas off WA's north-west kick a major climate driver into gear.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-28/bom-forecasts-wet-spring-in-australia/105703118,2025-08-28T03:16:36Z,,
Promised town centre in limbo years after residents bought into new suburb,Residents in Melbourne's booming outer west say developers have failed to deliver on their initial sales pitches — prompting a push for tighter restrictions on the way new communities are advertised.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-28/melton-council-calling-for-tighter-advertising-restrictions/105705074,2025-08-28T03:09:19Z,,
They bought into a new community — but 'promises' remain undelivered,Residents in Melbourne's booming outer west say developers have failed to deliver on their initial sales pitches — prompting a push for tighter restrictions on the way new communities are advertised.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-28/melbourne-council-calling-for-tighter-advertising-restrictions/105705074,2025-08-28T03:09:19Z,,
Supermarket giants split on beef linked to land clearing,"A conservation group welcomes a pledge from Coles to purchase greener beef, but says it is concerned about a change in policy from Wooworths.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/rural/2025-08-28/coles-and-woolworths-release-beef-sustainability-2025-goal/105703130,2025-08-27T23:36:25Z,,
Teenagers rally against mental 'numbness' after natural disasters,A group of high school students is putting in place initiatives they hope can help young people's mental health after floods.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-28/manning-youth-think-tank-develops-new-flood-recovery-projects/105594910,2025-08-27T23:12:44Z,,
Lifesaving US deal hangs in the balance as Star fights with banks,"It's the last roll of the dice for what was once one of the country's biggest casino groups, as yet another dispute with exasperated bankers delays a potentially lifesaving deal.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-28/star-entertainment-ballys-corporation-deal-analysis/105703708,2025-08-27T20:06:12Z,,
Gold Coast mayor buys final parcel of bowls club land for $4.17m,"Tom Tate's consortium, Crestden, has bought the final part of the old Surfers Paradise Bowls Club site, drawing calls for another investigation by the state's corruption watchdog.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-27/tom-tate-completes-purchase-of-surfers-paradise-bowls-club-land/105702196,2025-08-27T10:05:00Z,,
History beckons as Suns aim to rewrite Gold Coast's wretched sporting history,The Gold Coast Suns stand on the precipice of what few Gold Coast-based sporting teams have done before. This year’s Suns are looking to break a 25-year title drought on the coast after being reshaped in the image of their premiership-winning coach.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-27/afl-gold-coast-suns-finals-drought-damien-hardwick-analysis/105700578,2025-08-26T20:32:34Z,,
Iran's alleged sponsoring of antisemitic attacks in Australia may be 'power projection exercise',"While attacks on Jews in places like Australia reinforce the narrative of Israel's right-wing, certain elements within Iran see them as part of a strategy to threaten Israel and inflate Iran's power beyond its limited military and diplomatic range.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-27/analysis-iran-alleged-antisemitic-attacks-power-exercise/105700758,2025-08-26T19:21:45Z,,
Coolgardie council on notice as minister threatens suspension,"A regional West Australian council is being demanded to prove why they shouldn't be suspended, in the second dramatic country council revelation in the past 24 hours.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-26/coolgardie-council-suspension-minister-show-cause-notice/105692974,2025-08-26T07:26:44Z,,
Residents up in arms over plans to sell a Melbourne golf course,"Some community members in Melbourne's south-east are fighting plans to sell a public golf course, as the club behind it grapples with growing debt.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-26/community-frustrations-over-plans-to-rezone-rossdale-golf-club/105685064,2025-08-25T19:57:39Z,,
He received $92m from investors to construct homes. He barely built a thing,"David McWilliams took millions of dollars from investors by saying he was building houses for people with profound disabilities. Despite having his assets frozen, Four Corners can reveal he is still living a lavish lifestyle.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-26/david-mcwilliams-alammc-sda-fraud-investigation-four-corners/105694222,2025-08-25T18:47:21Z,,
"US cuts to science could mean Australian research, and lives, put at risk","Academics say cuts to US-based scientific agencies could make predicting emergency weather in Australia more difficult, with other critical research projects also at risk.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-25/australian-academics-us-funding-cuts-will-hurt-local-research/105684772,2025-08-25T00:18:29Z,,
Three Canberra couples create communal home by changing planning laws,Stellulata is a co-housing project designed and built by three Canberra couples who wanted to enjoy both privacy and community.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-25/cohousing-communal-living-for-six-canberra-residents/105690652,2025-08-24T20:48:08Z,,
74yo swaps birthday cake for lawyer certificate,"When Tim Looker retired, he was keen to pick up a hobby. So he returned to university, becoming a lawyer on his 74th birthday.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-24/tim-looker-admitted-as-lawyer-on-74th-birthday/105660596,2025-08-23T21:57:43Z,,
Australian family meets Ugandan child sponsor after three decades,"The Anschau family started sponsoring Edward Kankaka in 1995, exchanging letters and photos. Three decades on, they finally meet the man with the ""huge smile"" in person.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-24/newcastle-family-meet-ugandan-child-sponsor-three-decades-later/105687130,2025-08-23T21:51:32Z,,
Not everyone sees themselves in superheroes that are 'mostly white men',"As new audiences watch superheroes, what kind of characters do they want to see?  Two Australian comic writers would love to see their First Nations heroes hit the big screen.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-24/how-well-do-audiences-relate-to-superheroes/105668972,2025-08-23T20:15:00Z,,
Why Aunty Donna's 'last big show for a while' is only the beginning,Sketch group Aunty Donna have spent more than a decade working tirelessly for a seat at Australia’s comedy table. Now they’re pulling chairs up for new creators.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-24/aunty-donna-drem-tour-2025-interview/105670780,2025-08-23T20:00:00Z,,
The 'golden era' of reform in the 1980s and 90s had a dark side,Treasurer Jim Chalmers won't be making big reforms to the tax system immediately. He knows major policy changes can have unintended consequences.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-24/the-golden-era-of-reform-in-the-1980s-and-90s-had-a-dark-side/105680806,2025-08-23T18:47:57Z,,
"In a male teacher drought, Ryan is an endangered breed","After never seeing primary school teaching as a career path, Ryan Brown now believes he's found his ""calling"", but he's one of just two male classroom teachers at his Canberra primary school.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-23/shortage-of-male-teachers-impacting-classroom-diversity/105673820,2025-08-22T22:08:29Z,,
'Sophisticated fraudster' behind cancelled Victorian bushfire charity event,"Court documents reveal the founder of a charity behind a cancelled bushfire recovery event was described by a judge as a ""sophisticated fraudster"" and convicted of multiple crimes of deception under a different name.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-23/jay-brady-jason-palankay-deception-charges-bushfire-recovery/105610002,2025-08-22T21:08:56Z,,
Ghosts of Sydney's cinemas cast shadows on those still standing,"Sydney's suburban cinemas were once our dream palaces. Many have closed their doors with some lying ghostly empty and others demolished, erased from our cityscape forever. For those still remaining, is the writing on the wall?","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-23/sydney-cinemas-are-disappearing-with-concerns-more-may-follow/105477156,2025-08-22T21:00:02Z,,
Biomedical research centre warns 'mouse house' at risk from plastics plant,One of Australia's leading biomedical centres says a proposed plastics recycling plant south of Sydney could endanger the breeding of genetically modified mice used in life-saving research.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-22/garvan-mouse-house-opposes-moss-vale-plastics-plant/105686418,2025-08-22T07:34:46Z,,
Court knocks back doctors' challenge to Burrup gas project,"Facing three separate court challenges in a week, Woodside has had a win with the Federal Court dismissing a challenge by Doctors for the Environment to a gas project on the Burrup Peninsula.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-22/woodside-north-west-shelf-murujuga-legal-action-nopsema-doctors/105682332,2025-08-22T07:23:07Z,,
Norweigan energy giant pulls out of $10 billion offshore wind project,"A $10 billion offshore wind farm project, which has been in the planning for more than five years, is in limbo after an overseas company rejected a feasibility license.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-22/energy-giant-pulls-out-of-hunter-offshore-wind-farm/105684170,2025-08-22T01:28:04Z,,
The dark secret behind China's military display as deflation eats it from within,"While the world's two largest economies are in a battle, there's a possible silver lining for Australia.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Exports,NewsAPI,https://www.abc.net.au/news/2025-09-09/xi-and-trump-with-trouble-at-home-going-head-to-head/105749856,2025-09-08T18:45:06Z,,
BHP banks on China export resilience and India growth for demand,"BHP Group Ltd. predicts strong commodity demand from China and India despite global uncertainties, supporting future growth.","{'id': 'bloomberg', 'name': 'Bloomberg'}",Exports,NewsAPI,https://www.bloomberg.com/news/articles/2025-08-19/iron-ore-falls-with-bhp-results-soft-china-demand-in-focus,2025-08-19T09:42:17Z,,
"Closer ties between China, Russia, North Korea and Iran are reshaping the world","Flanked by the leaders of some of the world's most sanctioned nations, Chinese President Xi Jinping led what some analysts have dubbed an ""axis of upheaval"" this week.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Tariffs,NewsAPI,https://www.abc.net.au/news/2025-09-07/axis-of-upheaval-china-north-korea-iran-russia/105721686,2025-09-06T19:00:00Z,,
Are Myanmar's upcoming elections a 'peace-building process' or a 'trap'?,"Nearly five years ago, Myanmar's military seized power, plunging the country into a bloody civil war that left the junta internationally isolated. Now, with no end to the conflict in sight, Myanmar is going to the polls again.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Tariffs,NewsAPI,https://www.abc.net.au/news/2025-09-05/myanmar-election-pathway-peace-trap/105733420,2025-09-05T00:50:59Z,,
Modi meets Putin in China as tensions simmer with US over Russian oil imports,The pair reportedly spoke for an hour one-on-one before the formal meeting began and held hands in front of the cameras.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Tariffs,NewsAPI,https://www.abc.net.au/news/2025-09-01/narendra-modi-meets-putin-at-shanghai-cooperation-meeting/105722964,2025-09-01T13:09:26Z,,
"Putin, Modi and Xi Jinping To Meet at Shanghai Cooperation Organization Summit","Vladimir Putin, Narendra Modi and leaders of eight other nations are meeting in northern China this week, as host Xi Jinping boosts his image as the leader of a new global world order.","{'id': None, 'name': 'The Sydney Morning Herald'}",Tariffs,NewsAPI,https://www.smh.com.au/business/the-economy/china-s-super-summit-unites-trump-s-foes-and-friends-alike-20250831-p5mr7b.html,2025-08-31T03:41:01Z,,
